net,length_um
_1518_,24.14µm
_0383_,24.08µm
_1431_,24.06µm
_0176_,24µm
_0343_,24µm
_1622_,23.74µm
_0232_,23.72µm
_1204_,23.54µm
_1597_,23.48µm
_1720_,23.4µm
_0461_,23.36µm
_1840_,23.36µm
delta\[14\],23.36µm
state\[0\],23.33µm
_1803_,23.3µm
_0829_,23.24µm
_0852_,23.2µm
net68,23.18µm
_1614_,23.145µm
_1205_,23.1µm
_1595_,23.06µm
_1598_,23.04µm
_1831_,22.94µm
net27,22.92µm
_0194_,22.9µm
_0672_,22.74µm
_1486_,22.68µm
_1678_,22.63µm
_0398_,22.58µm
_0610_,22.58µm
_0851_,22.555µm
_1589_,22.54µm
_1727_,22.49µm
_0298_,22.46µm
_0642_,22.36µm
_1619_,22.36µm
_0393_,22.34µm
_0722_,22.34µm
_0355_,22.3µm
_0659_,22.28µm
net5,22.26µm
_0538_,22.22µm
_1705_,22.22µm
_0996_,22.2µm
_1480_,22.1µm
_0613_,22.08µm
_1159_,21.915µm
_1356_,21.84µm
_0468_,21.78µm
_0444_,21.76µm
_0841_,21.74µm
net4,21.62µm
_0802_,21.42µm
_0932_,21.4µm
_0374_,21.34µm
_1378_,21.22µm
_0234_,21.14µm
_0671_,20.86µm
_0389_,20.79µm
_0209_,20.74µm
_1208_,20.74µm
_1514_,20.66µm
_1797_,20.66µm
_0667_,20.64µm
tA\[3\],20.64µm
_1578_,20.58µm
_1585_,20.58µm
_1860_,20.58µm
_1013_,20.46µm
_0421_,20.42µm
_0395_,20.4µm
_0446_,20.34µm
_1223_,20.32µm
_0482_,20.28µm
_0309_,20.22µm
_1456_,20.22µm
_0233_,20.18µm
_0469_,20.18µm
_1664_,20.18µm
_0694_,20.16µm
_0750_,20.16µm
_0382_,20.14µm
_1558_,20.12µm
_1116_,20.1µm
_0738_,20.06µm
_1541_,20.04µm
_0455_,20.02µm
_0753_,19.96µm
_1880_,19.96µm
_1717_,19.9µm
_0731_,19.84µm
_0855_,19.84µm
_1787_,19.84µm
_0183_,19.8µm
_0226_,19.74µm
_1605_,19.74µm
_1441_,19.68µm
_1871_,19.68µm
_1283_,19.6µm
_0257_,19.58µm
_0467_,19.56µm
_0311_,19.44µm
net75,19.44µm
_0280_,19.32µm
net3,19.32µm
_0707_,19.3µm
tB\[2\],19.26µm
_1828_,19.24µm
_0186_,19.18µm
_0299_,19.12µm
_0864_,19.1µm
_1817_,19.1µm
_1853_,19.08µm
_0501_,19.06µm
_0783_,19.06µm
_0279_,19.04µm
_0530_,18.98µm
_0845_,18.98µm
_0516_,18.9µm
_1173_,18.86µm
_0727_,18.82µm
counter\[14\],18.82µm
_0326_,18.8µm
_0669_,18.8µm
_1393_,18.78µm
_1785_,18.76µm
_1305_,18.7µm
_1349_,18.62µm
_0375_,18.61µm
_0440_,18.58µm
_0647_,18.58µm
_1069_,18.57µm
_1022_,18.52µm
_0658_,18.5µm
_0308_,18.46µm
_1805_,18.42µm
_0986_,18.4µm
net19,18.4µm
_0541_,18.24µm
_1808_,18.24µm
_1406_,18.14µm
_0549_,18.12µm
tC\[3\],18.08µm
_1634_,18.06µm
_1730_,18.06µm
_0256_,18.04µm
_0460_,18.02µm
_1153_,18µm
net26,18µm
_0242_,17.94µm
_0388_,17.88µm
tB\[1\],17.805µm
_0359_,17.78µm
_1681_,17.78µm
_0331_,17.7µm
_1146_,17.69µm
_0551_,17.68µm
_1326_,17.66µm
_1836_,17.66µm
_1461_,17.64µm
_0744_,17.62µm
_0430_,17.6µm
_1528_,17.59µm
_0813_,17.46µm
_0693_,17.44µm
_0793_,17.44µm
_1353_,17.44µm
_0984_,17.4µm
_0212_,17.36µm
_1395_,17.24µm
_0935_,17.2µm
_0688_,17.19µm
_0292_,17.16µm
_0384_,17.12µm
_1697_,17.08µm
_1603_,17.02µm
_0723_,16.98µm
_1324_,16.98µm
_1211_,16.96µm
_1460_,16.96µm
_1152_,16.94µm
_1819_,16.94µm
_0754_,16.88µm
_1523_,16.88µm
tC\[14\],16.86µm
_0927_,16.82µm
_1765_,16.8µm
_0351_,16.74µm
_1811_,16.72µm
_1783_,16.7µm
_0838_,16.67µm
_1795_,16.64µm
_0666_,16.63µm
_1755_,16.6µm
_0792_,16.58µm
net1,16.54µm
_0764_,16.48µm
_1802_,16.48µm
_1753_,16.46µm
net40,16.45µm
_0408_,16.4µm
_1212_,16.4µm
delta\[15\],16.38µm
_0735_,16.32µm
_1472_,16.32µm
_0491_,16.28µm
_1210_,16.28µm
_0663_,16.26µm
_0368_,16.22µm
_0732_,16.2µm
_1852_,16.18µm
_1883_,16.135µm
_0697_,16.1µm
net31,16.1µm
_1776_,16.06µm
_1060_,16.02µm
_1451_,15.97µm
tC\[13\],15.86µm
_0796_,15.84µm
_1463_,15.82µm
_0333_,15.78µm
_0325_,15.74µm
_0803_,15.72µm
_0985_,15.72µm
tB\[15\],15.7µm
_0503_,15.68µm
_1433_,15.68µm
_0411_,15.66µm
_1423_,15.66µm
tC\[1\],15.66µm
_1856_,15.64µm
_0315_,15.58µm
_1398_,15.56µm
_1447_,15.52µm
_0284_,15.44µm
_1506_,15.43µm
_1375_,15.3µm
vA[9],15.27µm
_1552_,15.26µm
_0358_,15.24µm
_0429_,15.24µm
_0458_,15.22µm
_0839_,15.22µm
_1229_,15.22µm
_1362_,15.22µm
_1396_,15.18µm
_1455_,15.18µm
_1416_,15.175µm
_0344_,15.16µm
_0510_,15.16µm
_1804_,15.16µm
_1319_,15.14µm
_1680_,15.14µm
_0679_,15.125µm
_0637_,15.06µm
_1537_,15.06µm
_1687_,15.06µm
_1812_,15µm
_0718_,14.8µm
_0441_,14.74µm
_0577_,14.74µm
_1373_,14.74µm
_0285_,14.73µm
_0216_,14.72µm
_0777_,14.68µm
_1723_,14.66µm
_1333_,14.62µm
_1177_,14.6µm
_0989_,14.56µm
_1757_,14.56µm
_1551_,14.52µm
_1792_,14.48µm
_1533_,14.44µm
tA\[1\],14.405µm
_0925_,14.4µm
_1050_,14.4µm
_0362_,14.36µm
_1328_,14.36µm
_1027_,14.34µm
counter\[10\],14.32µm
_0262_,14.3µm
_0475_,14.3µm
net21,14.3µm
_0589_,14.29µm
_0789_,14.275µm
_0575_,14.25µm
_0318_,14.24µm
_0930_,14.24µm
_1348_,14.24µm
_1869_,14.24µm
_0328_,14.23µm
_0303_,14.2µm
_0781_,14.2µm
_1584_,14.2µm
_1842_,14.2µm
_0448_,14.18µm
_0706_,14.18µm
_1469_,14.13µm
vB[6],14.13µm
net58,14.12µm
_0373_,14.1µm
_0330_,14.06µm
_1566_,14.06µm
_1666_,14.06µm
tB\[12\],14.06µm
_0865_,14.04µm
_1781_,14.02µm
_0487_,13.98µm
_1758_,13.98µm
_0500_,13.94µm
_0571_,13.94µm
_1774_,13.94µm
_0246_,13.88µm
_1347_,13.88µm
_1764_,13.88µm
tB\[13\],13.88µm
tC\[12\],13.88µm
_0268_,13.86µm
_0269_,13.86µm
_1274_,13.86µm
_0652_,13.82µm
_0557_,13.8µm
_0471_,13.76µm
_0747_,13.76µm
_1332_,13.755µm
_1718_,13.74µm
_0502_,13.72µm
_0283_,13.7µm
_0518_,13.7µm
_0266_,13.68µm
_0305_,13.62µm
_0969_,13.6µm
_0556_,13.55µm
_1367_,13.54µm
rising,13.47µm
_1567_,13.46µm
vC[6],13.45µm
_0207_,13.44µm
_0459_,13.42µm
_0426_,13.4µm
_1651_,13.38µm
_0567_,13.34µm
_0276_,13.32µm
_0507_,13.32µm
_0808_,13.32µm
_0963_,13.32µm
_0675_,13.3µm
_1568_,13.3µm
_1001_,13.26µm
_1267_,13.26µm
_1411_,13.26µm
_0406_,13.24µm
_0816_,13.24µm
_1489_,13.24µm
_0872_,13.22µm
_1867_,13.22µm
_1432_,13.16µm
_1641_,13.16µm
_0800_,13.14µm
_1673_,13.14µm
_1716_,13.14µm
tC\[11\],13.14µm
_0470_,13.12µm
_0463_,13.115µm
_0944_,13.08µm
_1197_,13.08µm
net277,13.08µm
_0690_,13.04µm
_0733_,13.02µm
_0348_,13.015µm
_0403_,12.96µm
_0831_,12.96µm
_1580_,12.96µm
_0979_,12.9µm
_0812_,12.88µm
_1234_,12.88µm
_1016_,12.84µm
_0304_,12.83µm
tB\[3\],12.805µm
_0857_,12.8µm
_1293_,12.8µm
_0639_,12.79µm
_0485_,12.78µm
_1450_,12.76µm
_1457_,12.7µm
_1810_,12.7µm
_0196_,12.68µm
_0815_,12.66µm
_1508_,12.64µm
_1606_,12.64µm
_0424_,12.56µm
_1821_,12.56µm
_0231_,12.54µm
_0241_,12.5µm
_1847_,12.5µm
_0260_,12.48µm
_0347_,12.48µm
_1322_,12.48µm
_0205_,12.46µm
_0695_,12.46µm
_1318_,12.46µm
_1503_,12.46µm
_0931_,12.44µm
_0566_,12.42µm
_1336_,12.42µm
_0490_,12.4µm
_0780_,12.4µm
_1761_,12.38µm
_1846_,12.38µm
_0203_,12.36µm
_1046_,12.36µm
tA\[11\],12.34µm
_0479_,12.28µm
_0457_,12.26µm
