net,length_um
_2308_,12.66µm
net31,12.64µm
_1341_,12.62µm
_1600_,12.62µm
_1398_,12.6µm
_1338_,12.58µm
_2056_,12.58µm
slte0.opB\[13\],12.58µm
_1075_,12.54µm
_1910_,12.54µm
_0733_,12.52µm
_1089_,12.5µm
_1283_,12.5µm
_1746_,12.5µm
_2326_,12.48µm
_0570_,12.46µm
_0670_,12.46µm
_0881_,12.46µm
_1272_,12.43µm
_0426_,12.42µm
_1395_,12.42µm
_1724_,12.42µm
_0591_,12.4µm
_0464_,12.38µm
_0711_,12.38µm
net46,12.38µm
_1557_,12.36µm
_2132_,12.36µm
net322,12.36µm
_0291_,12.34µm
_0505_,12.34µm
_1086_,12.34µm
_1454_,12.34µm
_1276_,12.32µm
_1440_,12.32µm
_0140_,12.3µm
_1838_,12.3µm
_0576_,12.26µm
vec\[1\]\[15\],12.24µm
net51,12.2µm
_1188_,12.18µm
_2112_,12.16µm
_0830_,12.15µm
_1672_,12.14µm
_0925_,12.12µm
_1381_,12.12µm
_0325_,12.1µm
_1024_,12.1µm
_1906_,12.095µm
vec\[0\]\[6\],12.09µm
_0308_,12.08µm
_0497_,12.06µm
_0511_,12.02µm
_1253_,12.02µm
_1886_,12.02µm
_0300_,12µm
_1323_,12µm
_1573_,11.98µm
_0384_,11.96µm
_0991_,11.96µm
_1451_,11.96µm
_1903_,11.96µm
_1441_,11.93µm
_0825_,11.9µm
_1949_,11.9µm
_0446_,11.88µm
_0827_,11.88µm
_0979_,11.88µm
_1657_,11.86µm
_0431_,11.84µm
_0737_,11.84µm
_1643_,11.83µm
_0207_,11.82µm
_0567_,11.8µm
_0663_,11.8µm
_1455_,11.8µm
_2149_,11.79µm
_1308_,11.78µm
_0296_,11.76µm
_1493_,11.76µm
_1691_,11.76µm
_1952_,11.76µm
_2111_,11.76µm
_0633_,11.74µm
_0659_,11.74µm
_0336_,11.7µm
_0454_,11.68µm
_0645_,11.66µm
_1202_,11.66µm
_2109_,11.66µm
_2209_,11.64µm
_1142_,11.63µm
_0753_,11.62µm
theta[4],11.61µm
_1495_,11.605µm
_2251_,11.58µm
_1891_,11.56µm
_0851_,11.54µm
_1015_,11.54µm
_1149_,11.54µm
_0211_,11.5µm
_1242_,11.5µm
_1916_,11.5µm
_0463_,11.48µm
_0444_,11.46µm
_1522_,11.46µm
_1665_,11.46µm
_1875_,11.46µm
vec\[0\]\[16\],11.46µm
_1900_,11.43µm
_0548_,11.42µm
_1369_,11.42µm
_2270_,11.38µm
_1583_,11.36µm
_0342_,11.34µm
_0425_,11.34µm
_2163_,11.34µm
_0396_,11.3µm
_1713_,11.3µm
_1941_,11.3µm
_1770_,11.28µm
_0110_,11.26µm
_0302_,11.26µm
_0829_,11.26µm
_1848_,11.26µm
_2093_,11.24µm
cos[4],11.24µm
sin[11],11.23µm
_0528_,11.22µm
_0572_,11.22µm
_1515_,11.22µm
_1530_,11.22µm
_0618_,11.2µm
_0407_,11.16µm
slte0.opA\[1\],11.16µm
_1171_,11.135µm
_1825_,11.13µm
_0958_,11.12µm
_1328_,11.12µm
_1365_,11.12µm
_1802_,11.12µm
_1983_,11.12µm
_2108_,11.12µm
_0356_,11.08µm
_0674_,11.08µm
_1660_,11.06µm
_1689_,11.02µm
_1955_,11µm
_0905_,10.98µm
_1199_,10.98µm
_0927_,10.97µm
_1402_,10.96µm
_1730_,10.96µm
_1751_,10.96µm
net26,10.96µm
_1318_,10.9µm
_0508_,10.88µm
_0988_,10.88µm
_1614_,10.88µm
_0546_,10.86µm
_1527_,10.82µm
_2267_,10.82µm
_1353_,10.81µm
_1488_,10.8µm
_2327_,10.8µm
_0912_,10.78µm
_1233_,10.78µm
_1252_,10.78µm
cos[15],10.78µm
_0466_,10.72µm
_1299_,10.72µm
_1977_,10.72µm
_0328_,10.7µm
_0364_,10.7µm
_0678_,10.7µm
_0772_,10.7µm
_1599_,10.7µm
_1602_,10.7µm
_1348_,10.68µm
net16,10.68µm
_0408_,10.66µm
_0993_,10.66µm
_1427_,10.66µm
_1718_,10.66µm
gm0.iter\[3\],10.66µm
vec\[0\]\[1\],10.65µm
_0533_,10.64µm
_0715_,10.64µm
_1756_,10.64µm
net45,10.64µm
_1169_,10.62µm
_1185_,10.62µm
_1383_,10.62µm
_1423_,10.62µm
_1943_,10.62µm
_1097_,10.6µm
_1533_,10.58µm
_0273_,10.54µm
_1648_,10.54µm
_2199_,10.54µm
_1768_,10.52µm
_0437_,10.5µm
_1470_,10.5µm
net49,10.5µm
